JRV,PRESJRV
HN.5.1.1.119.3900_DIP,HN.5.1.1.119.3900
HN.5.1.1.119.3901_DIP,HN.5.1.1.119.3901
HN.5.1.1.119.3902_DIP,HN.5.1.1.119.3902
HN.5.1.1.119.3903_DIP,HN.5.1.1.119.3903
HN.5.1.1.119.3904_DIP,HN.5.1.1.119.3904
HN.5.1.1.119.3905_DIP,HN.5.1.1.119.3905
NA,NA
HN.5.1.1.83.3799_DIP,HN.5.1.1.83.3799
HN.5.1.1.83.3800_DIP,HN.5.1.1.83.3800
HN.5.1.1.83.3801_DIP,HN.5.1.1.83.3801
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.111.3874_DIP,HN.5.1.1.111.3874
NA,NA
NA,NA
HN.5.1.1.111.3877_DIP,HN.5.1.1.111.3877
NA,NA
NA,NA
HN.5.1.1.111.3880_DIP,HN.5.1.1.111.3880
NA,NA
HN.5.1.1.236.4432_DIP,HN.5.1.1.236.4432
HN.5.1.1.236.4433_DIP,HN.5.1.1.236.4433
HN.5.1.1.236.4434_DIP,HN.5.1.1.236.4434
HN.5.1.1.236.4435_DIP,HN.5.1.1.236.4435
HN.5.1.1.236.4436_DIP,HN.5.1.1.236.4436
NA,NA
NA,NA
NA,NA
NA,NA
HN.5.1.1.236.4441_DIP,HN.5.1.1.236.4441
HN.5.1.1.236.4442_DIP,HN.5.1.1.236.4442
NA,NA
HN.5.1.1.236.4444_DIP,HN.5.1.1.236.4444
NA,NA
HN.5.1.1.236.4446_DIP,HN.5.1.1.236.4446
HN.5.1.1.332.4814_DIP,HN.5.1.1.332.4814
NA,NA
NA,NA
HN.5.1.1.135.3972_DIP,HN.5.1.1.135.3972
HN.5.1.1.135.3973_DIP,HN.5.1.1.135.3973
HN.5.1.1.135.3974_DIP,HN.5.1.1.135.3974
HN.5.1.1.135.3975_DIP,HN.5.1.1.135.3975
HN.5.1.1.135.3976_DIP,HN.5.1.1.135.3976
NA,NA
HN.5.1.1.135.3978_DIP,HN.5.1.1.135.3978
HN.5.1.1.135.3979_DIP,HN.5.1.1.135.3979
